,Título,Preço,Link
0,Hp 12c,110.0,https://sp.olx.com.br/sao-paulo-e-regiao/computadores-e-acessorios/hp-12c-654882281?xtmc=hp+12c&xtnp=1&xtcr=1
1,HP-12c,150.0,https://rj.olx.com.br/rio-de-janeiro-e-regiao/comercio-e-escritorio/outros-itens-para-comercio-e-escritorio/hp-12c-654860972?xtmc=hp+12c&xtnp=1&xtcr=2
2,Hp 12c,190.0,https://sp.olx.com.br/grande-campinas/computadores-e-acessorios/hp-12c-654818259?xtmc=hp+12c&xtnp=1&xtcr=3
3,Hp 12c,100.0,https://sc.olx.com.br/norte-de-santa-catarina/comercio-e-escritorio/equipamentos-e-mobiliario/hp-12c-654310755?xtmc=hp+12c&xtnp=1&xtcr=4
4,Hp 12c,150.0,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/comercio-e-escritorio/equipamentos-e-mobiliario/hp-12c-654564896?xtmc=hp+12c&xtnp=1&xtcr=5
5,Hp 12c,60.0,https://pa.olx.com.br/regiao-de-belem/computadores-e-acessorios/hp-12c-654048422?xtmc=hp+12c&xtnp=1&xtcr=7
6,Hp 12c,149.0,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/computadores-e-acessorios/hp-12c-653946457?xtmc=hp+12c&xtnp=1&xtcr=8
7,Hp 12c,120.0,https://ce.olx.com.br/fortaleza-e-regiao/computadores-e-acessorios/hp-12c-653567164?xtmc=hp+12c&xtnp=1&xtcr=9
8,HP 12c,150.0,https://rj.olx.com.br/rio-de-janeiro-e-regiao/computadores-e-acessorios/hp-12c-653708064?xtmc=hp+12c&xtnp=1&xtcr=10
9,Hp 12c,120.0,https://sp.olx.com.br/sao-paulo-e-regiao/comercio-e-escritorio/outros-itens-para-comercio-e-escritorio/hp-12c-653300629?xtmc=hp+12c&xtnp=1&xtcr=11
10,Hp 12c,130.0,https://sp.olx.com.br/baixada-santista-e-litoral-sul/computadores-e-acessorios/hp-12c-653256015?xtmc=hp+12c&xtnp=1&xtcr=12
11,HP 12c,150.0,https://sp.olx.com.br/grande-campinas/computadores-e-acessorios/hp-12c-653166517?xtmc=hp+12c&xtnp=1&xtcr=13
12,HP 12c,140.0,https://es.olx.com.br/norte-do-espirito-santo/comercio-e-escritorio/outros-itens-para-comercio-e-escritorio/hp-12c-653030840?xtmc=hp+12c&xtnp=1&xtcr=14
13,Calculadora HP 12C,170.0,https://sc.olx.com.br/florianopolis-e-regiao/computadores-e-acessorios/calculadora-hp-12c-654920943?xtmc=hp+12c&xtnp=1&xtcr=15
14,HP 12c Dourada,160.0,https://mg.olx.com.br/belo-horizonte-e-regiao/comercio-e-escritorio/outros-itens-para-comercio-e-escritorio/hp-12c-dourada-654630969?xtmc=hp+12c&xtnp=1&xtcr=16
